Key,Values
2Q_dm_A3,"[['(0.49999999999999994+0j)', '(0.45225424859373686-0.14694631307311828j)', '(0.04774575140626314+0.14694631307311828j)', '0j'], ['(0.45225424859373686+0.14694631307311828j)', '(0.4522542485937368+0j)', '0.14694631307311828j', '(3.469446951953614e-18+1.3877787807814457e-17j)'], ['(0.047745751406263144-0.14694631307311828j)', '-0.14694631307311826j', '(0.04774575140626314+0j)', '8.673617379884035e-19j'], ['0j', '(3.3588896680186333e-18+0j)', '9.710826157590638e-19j', '0j']]"
2Q_dm_B3,"[['(0.4761271242968683+0j)', '(0.4113474675195197-0.1258981266709502j)', '(0.08865253248048023+0.19937128320750938j)', '(0.02387287570313156+0.07347315653655916j)'], ['(0.4113474675195197+0.1258981266709502j)', '(0.3897542485937368-2.6020852139652106e-18j)', '(0.02387287570313156+0.19235522107345332j)', '(0.0022796567773486695+0.06645709440250314j)'], ['(0.08865253248048025-0.19937128320750935j)', '(0.02387287570313157-0.19235522107345338j)', '(0.11024575140626314+2.6020852139652106e-18j)', '(0.04546609462891446+0.007016062134056022j)'], ['(0.02387287570313157-0.07347315653655913j)', '(0.00227965677734868-0.06645709440250314j)', '(0.04546609462891446-0.00701606213405602j)', '(0.02387287570313156+0j)']]"
2Q_dm_C3,"[['(0.43294068644530265+0j)', '(0.35687765537108557-0.10118374971976145j)', '(0.12152912570313157+0.23409793852476773j)', '(0.04546609462891445+0.13291418880500627j)'], ['(0.3568776553710855+0.10118374971976143j)', '(0.3198771242968684-5.204170427930421e-18j)', '(0.045466094628914454+0.21505967507362087j)', '(0.008465563554697334+0.11387592535385942j)'], ['(0.12152912570313158-0.2340979385247677j)', '(0.04546609462891446-0.2150596750736209j)', '(0.1801228757031316+6.938893903907228e-18j)', '(0.10405984462891449+0.019038263451146866j)'], ['(0.04546609462891446-0.13291418880500627j)', '(0.008465563554697356-0.1138759253538594j)', '(0.10405984462891446-0.01903826345114685j)', '(0.06705931355469735+1.734723475976807e-18j)']]"
