Key,Values
2Q_dm_A3,"[['(0.49999999999999994-1.387778780781446e-17j)', '(0.375-0.21650635094610968j)', '(0.12499999999999994+0.2165063509461096j)', '(3.851859888774472e-34+0j)'], ['(0.375+0.21650635094610965j)', '(0.375+1.0408340855860846e-17j)', '(-6.009258394948637e-18+0.21650635094610957j)', '0j'], ['(0.12499999999999994-0.2165063509461096j)', '(6.009258394948637e-18-0.2165063509461096j)', '(0.12499999999999989+3.4694469519536126e-18j)', '(-6.938893903907228e-18+3.469446951953614e-18j)'], ['(-4.984673491406551e-35+0j)', '-8.979589471384854e-19j', '(-3.3512284138318843e-18+0j)', '1.8603054729071002e-34j']]"
2Q_dm_B3,"[['(0.4374999999999999-1.734723475976807e-17j)', '(0.29687500000000006-0.13531646934131855j)', '(0.2031249999999999+0.24356964481437332j)', '(0.062499999999999944+0.10825317547305478j)'], ['(0.296875+0.13531646934131852j)', '(0.25000000000000006+1.5612511283791264e-17j)', '(0.06249999999999995+0.21650635094610965j)', '(0.015624999999999986+0.08118988160479111j)'], ['(0.2031249999999999-0.2435696448143733j)', '(0.062499999999999965-0.21650635094610962j)', '(0.2499999999999998+0j)', '(0.10937499999999989+0.02706329386826368j)'], ['(0.06249999999999997-0.10825317547305478j)', '(0.015624999999999981-0.08118988160479113j)', '(0.10937499999999992-0.027063293868263675j)', '(0.06249999999999994+1.734723475976807e-18j)']]"
2Q_dm_C3,"[['(0.34374999999999994-1.734723475976807e-17j)', '(0.21484375-0.06089241120359336j)', '(0.2382812499999999+0.22327217441317548j)', '(0.10937499999999996+0.16237976320958222j)'], ['(0.21484375000000006+0.0608924112035934j)', '(0.15625+1.734723475976807e-17j)', '(0.10937499999999993+0.1623797632095823j)', '(0.05078124999999992+0.10148735200598893j)'], ['(0.2382812499999999-0.2232721744131755j)', '(0.10937499999999994-0.16237976320958225j)', '(0.3437499999999997+3.469446951953614e-18j)', '(0.21484374999999986+0.06089241120359329j)'], ['(0.10937499999999994-0.16237976320958222j)', '(0.05078124999999992-0.1014873520059889j)', '(0.21484374999999983-0.06089241120359329j)', '(0.1562499999999998-3.469446951953614e-18j)']]"
