Key,Values
1Q_FST_A1,"[['(0.9999999999999999+0j)', '0j', '0j', '0j'], ['0j', '0j', '0j', '0j'], ['0j', '0j', '0j', '0j'], ['0j', '0j', '0j', '0j']]"
1Q_FST_A2,"[['(0.9516553824444451+0j)', '0j', '0j', '(-0.01931356214843421+0j)'], ['0j', '(0.02387287570313156+0j)', '(-0.01931356214843421+0j)', '0j'], ['0j', '(-0.01931356214843421+0j)', '(0.02387287570313156+0j)', '0j'], ['(-0.01931356214843421+0j)', '0j', '0j', '(0.0005988661492916416+0j)']]"
1Q_FST_A3,"[['(0.9090678107421712+0j)', '0j', '0j', '(-0.03862712429686843+0.028064248536224093j)'], ['0j', '(0.043186437851565784+0j)', '0j', '0j'], ['0j', '0j', '(0.04318643785156577+0j)', '0j'], ['(-0.03862712429686843-0.028064248536224093j)', '0j', '0j', '(0.004559313554697358+0j)']]"
1Q_FST_B1,"[['(0.9090678107421711+0j)', '0j', '0j', '(-0.03125+0.02270445400016753j)'], ['0j', '(0.043186437851565784+0j)', '0j', '0j'], ['0j', '0j', '(0.04318643785156577+0j)', '0j'], ['(-0.03125-0.02270445400016753j)', '0j', '0j', '(0.004559313554697358+0j)']]"
1Q_FST_B2,"[['(0.8690282555183275+2.2007833254005173e-20j)', '0j', '0j', '(-0.04534137058837418+0.0215932189257829j)'], ['0j', '(0.06109109462891446-2.954459451151418e-20j)', '(-0.014091370588374183+8.673617379884035e-19j)', '0j'], ['0j', '(-0.014091370588374183+8.673617379884035e-19j)', '(0.06109109462891445-2.954459451151418e-20j)', '0j'], ['(-0.04534137058837418-0.0215932189257829j)', '0j', '0j', '(0.008789555223843802+2.253548441020885e-20j)']]"
1Q_FST_B3,"[['(0.8338853455248827+2.8061562463185984e-17j)', '0j', '0j', '(-0.05943274117674838+0.045920722835349474j)'], ['0j', '(0.07518246521728866+7.387608437311797e-19j)', '0j', '0j'], ['0j', '0j', '(0.07518246521728864+3.808465249132608e-20j)', '0j'], ['(-0.05943274117674838-0.045920722835349474j)', '0j', '0j', '(0.015749724040540283-3.867257847840098e-20j)']]"
