Key,Values
1Q_dm_A1,"[['(0.9999999999999998+0j)', '0j'], ['0j', '0j']]"
1Q_dm_A2,"[['(0.9330127018922192+0j)', '(0.12499999999999993+0j)'], ['(0.12499999999999994+0j)', '(0.06698729810778062+0j)']]"
1Q_dm_A3,"[['(0.875-3.469446951953614e-18j)', '(0.12499999999999994+0.2165063509461096j)'], ['(0.12499999999999994-0.2165063509461096j)', '(0.12499999999999989+3.4694469519536126e-18j)']]"
1Q_dm_B1,"[['(0.8749999999999998+0j)', '(0.10825317547305477+0.18749999999999992j)'], ['(0.10825317547305477-0.18749999999999992j)', '(0.12499999999999986+0j)']]"
1Q_dm_B2,"[['(0.8247595264191643+6.938893903907228e-18j)', '(0.2187499999999999+0.18749999999999994j)'], ['(0.2187499999999999-0.18749999999999992j)', '(0.17524047358083533-6.938893903907228e-18j)']]"
1Q_dm_B3,"[['(0.6875-1.734723475976807e-18j)', '(0.2187499999999999+0.32475952641916445j)'], ['(0.21874999999999986-0.3247595264191644j)', '(0.3124999999999997+1.734723475976807e-18j)']]"
1Q_dm_C1,"[['(0.6874999999999999+0j)', '(0.18944305707784587+0.28124999999999994j)'], ['(0.1894430570778458-0.2812499999999999j)', '(0.31249999999999967+0j)']]"
1Q_dm_C2,"[['(0.6623797632095821-3.469446951953614e-18j)', '(0.28906249999999983+0.2812499999999999j)'], ['(0.2890624999999998-0.2812499999999999j)', '(0.3376202367904174+3.469446951953614e-18j)']]"
1Q_dm_C3,"[['(0.49999999999999994+0j)', '(0.2890624999999998+0.3247595264191644j)'], ['(0.2890624999999998-0.3247595264191644j)', '(0.49999999999999956+0j)']]"
