Key,Values
rho_W_dm_A1,"[['(0.9999999999999999+0j)', '0j', '0j', '0j'], ['0j', '0j', '0j', '0j'], ['0j', '0j', '0j', '0j'], ['0j', '0j', '0j', '0j']]"
rho_W_dm_A2,"[['(0.9516553824444451+0j)', '0j', '0j', '(-0.01931356214843421+0j)'], ['0j', '(0.02387287570313156+0j)', '(-0.01931356214843421+0j)', '0j'], ['0j', '(-0.01931356214843421+0j)', '(0.02387287570313156+0j)', '0j'], ['(-0.01931356214843421+0j)', '0j', '0j', '(0.0005988661492916416+0j)']]"
rho_W_dm_A3,"[['(0.909067810742171-1.084941055690941e-18j)', '0j', '0j', '(-0.038627124296868424+0.02806424853622408j)'], ['0j', '(0.04318643785156577+5.1527121316036e-19j)', '(1.4145912544615223e-18-1.0459738504780877e-19j)', '0j'], ['0j', '(1.9030097887979154e-18-8.341780775038461e-19j)', '(0.04318643785156577+5.1527121316036e-19j)', '0j'], ['(-0.038627124296868424-0.02806424853622408j)', '0j', '0j', '(0.004559313554697356+5.439862937022032e-20j)']]"
rho_W_dm_B1,"[['(0.9090678107421709+0j)', '0j', '0j', '(-0.031249999999999993+0.022704454000167518j)'], ['0j', '(0.04318643785156577+5.1527121316036e-19j)', '(1.4145912544615223e-18-1.0459738504780877e-19j)', '0j'], ['0j', '(1.9030097887979154e-18-8.341780775038461e-19j)', '(0.04318643785156577+5.1527121316036e-19j)', '0j'], ['(-0.031249999999999993-0.022704454000167518j)', '0j', '0j', '(0.004559313554697356+0j)']]"
rho_W_dm_B2,"[['(0.8690282555183273-5.573941539826208e-20j)', '0j', '0j', '(-0.045341370588374175+0.021593218925782885j)'], ['0j', '(0.06109109462891445+5.215390133104396e-19j)', '(-0.014091370588374178-3.771910711655071e-20j)', '0j'], ['0j', '(-0.014091370588374176-3.846553429782731e-19j)', '(0.06109109462891445+5.215390133104396e-19j)', '0j'], ['(-0.04534137058837416-0.021593218925782885j)', '0j', '0j', '(0.0087895552238438+1.1579917951121727e-19j)']]"
rho_W_dm_B3,"[['(0.8338853455248827-1.4590786218692183e-18j)', '0j', '0j', '(-0.05943274117674835+0.045920722835349446j)'], ['0j', '(0.07518246521728864+1.4460561947284912e-18j)', '(4.3563322811304895e-18+4.020944647530473e-19j)', '0j'], ['0j', '(1.2359745185887407e-18+1.2031608282155094e-18j)', '(0.07518246521728862+1.2374863742090312e-18j)', '0j'], ['(-0.05943274117674835-0.045920722835349446j)', '0j', '0j', '(0.01574972404054028-1.6763641199638453e-19j)']]"
